OID_,Area_Geo,Length_km,width_km,AR,Lat_Center,Lon_Center,Diam_Geo
0,117.683390287999998,12.977000000000000,12.404000000000000,0.955844956461000,48.636169892700003,-155.590385257999998,12.690500000000000
1,33.634588893900002,6.836900000000000,6.181000000000000,0.904064707689000,70.317106920399993,-64.982973083199994,6.508950000000000
2,76.340276342199999,10.337000000000000,9.557499999999999,0.924591274064000,70.406106700600006,-65.321301510500007,9.947250000000000
3,240.657993559000005,20.132000000000001,15.807000000000000,0.785167891913000,46.432189614000002,-159.866840524999986,17.969500000000000
4,109.716885661999996,12.109000000000000,11.956000000000000,0.987364770006000,46.586361687000000,-159.152664654999995,12.032500000000001
5,78.263018033600005,10.119000000000000,9.758800000000001,0.964403597193000,46.982621141400003,-159.260007897000008,9.938900000000000
6,189.655270247999994,17.032000000000000,14.499000000000001,0.851279943636000,42.445627325300002,-163.950836320000008,15.765499999999999
7,34.981844183500002,6.940000000000000,6.060000000000000,0.873198847262000,45.614144820200003,-163.409868256999999,6.500000000000000
8,42.146400680200003,8.094300000000000,7.042700000000000,0.870081415317000,45.541665495300002,-163.657526007999991,7.568500000000000
9,141.541966886000012,13.441000000000001,12.695000000000000,0.944498177219000,47.079370720100002,-162.852215096000009,13.068000000000000
10,81.510067324700003,11.622000000000000,9.690899999999999,0.833840991224000,47.353251276999998,-162.385669881000013,10.656450000000000
11,42.416061789799997,7.776400000000000,7.369500000000000,0.947675016717000,45.523234691399999,-163.852626735999991,7.572950000000000
12,98.912925105400006,11.590999999999999,10.773999999999999,0.929514278319000,48.195504188999998,-166.391017978999997,11.182499999999999
13,139.599446481000001,14.635000000000000,12.481000000000000,0.852818585583000,47.968763711299999,-166.857299649999987,13.558000000000000
14,55.017172745800003,8.390300000000000,8.106900000000000,0.966222900254000,64.664482924400005,-158.531035102000004,8.248600000000000
15,647.567917705000013,31.030000000000001,28.248000000000001,0.910344827586000,78.408442245299995,-127.565193105999995,29.638999999999999
16,86.107552494299995,11.149699999999999,10.366000000000000,0.929711113303000,61.329856660300003,-18.313908337899999,10.757849999999999
17,150.364405675999990,14.090000000000000,13.175000000000001,0.935060326473000,75.596564322399999,-144.424161698999995,13.632500000000000
18,138.402036743999986,14.451000000000001,12.456000000000000,0.861947270085000,77.177857766299994,-149.563780637999997,13.453500000000000
19,122.289683252000003,12.423999999999999,12.052000000000000,0.970057952350000,71.365272499599996,-165.197916386999992,12.238000000000000
20,67.313078272200002,10.698000000000000,8.353000000000000,0.780800149561000,57.516359607699997,-7.763219357070000,9.525499999999999
21,58.695302891099999,8.670000000000000,8.615800000000000,0.993748558247000,78.632703458199998,-5.895312804590000,8.642899999999999
22,103.415614602999995,11.435000000000000,11.391999999999999,0.996239615216000,46.330449119699999,175.495412410999990,11.413500000000001
23,76.843271298999994,11.863000000000000,8.826800000000000,0.744061367276000,77.974811685700004,16.038131808700001,10.344900000000001
24,82.272832009200002,11.568000000000000,9.445800000000000,0.816545643154000,48.703595333099997,9.262663127450001,10.506900000000000
25,55.353552315899996,8.889699999999999,8.321800000000000,0.936117079317000,47.298220026999999,17.006261819300001,8.605750000000000
26,63.811178341700000,9.600300000000001,8.343700000000000,0.869108257034000,45.629025199499999,19.008468341499999,8.972000000000000
27,60.496519842200001,9.312099999999999,8.826000000000001,0.947799100096000,52.400495347099998,23.621365106700001,9.069050000000001
28,35.880069552000002,6.896700000000000,6.531500000000000,0.947047138487000,52.092950738900001,23.090545899999999,6.714100000000000
29,73.470306445399999,10.238000000000000,9.703900000000001,0.947831607736000,53.915184604700002,24.826741890299999,9.970950000000000
30,50.293184468400000,8.378399999999999,8.037100000000001,0.959264298673000,53.718721426000002,24.771371381200002,8.207750000000001
31,82.747796902100006,10.715000000000000,10.209000000000000,0.952776481568000,73.509698174400000,101.388237290999996,10.462000000000000
32,81.044810291600001,11.257000000000000,9.448499999999999,0.839344407924000,70.586021719900003,126.928231132999997,10.352750000000000
33,61.502002344799998,9.163000000000000,8.780700000000000,0.958277856597000,50.383897142099997,24.350520858199999,8.971850000000000
34,121.223467077999999,12.891000000000000,11.292999999999999,0.876037545574000,52.814728132500001,150.395595117999989,12.092000000000001
35,70.871746547000001,9.996100000000000,9.485300000000001,0.948900071028000,47.463167289499999,24.991128889199999,9.740700000000000
36,84.991119826900004,11.218000000000000,9.992100000000001,0.890720270993000,45.698060939400001,26.168874959099998,10.605050000000000
37,87.858790164599995,11.367000000000001,9.970000000000001,0.877100378288000,67.277785630400004,64.958669154700004,10.668500000000000
38,55.109115950800003,8.928300000000000,8.078799999999999,0.904853107534000,48.745139177799999,29.548321186500001,8.503550000000001
39,258.164440679999984,18.425999999999998,18.366000000000000,0.996743731683000,48.297882483000002,32.761454028000003,18.396000000000001
40,141.279812410999995,14.770000000000000,12.804000000000000,0.866892349357000,45.855534679300000,31.222612283800000,13.787000000000001
41,40.286828157999999,7.200000000000000,7.146100000000000,0.992513888889000,53.012465956400000,133.492191877000010,7.173050000000000
42,50.821254483200001,8.275399999999999,8.043300000000000,0.971953017377000,53.730629015200002,131.488419195999995,8.159350000000000
43,173.713347069999998,16.492999999999999,13.292000000000000,0.805917662038000,60.955526407999997,80.604562430800001,14.892500000000000
44,215.378982549000000,18.648000000000000,14.872000000000000,0.797511797512000,59.204575783099997,81.539964008499993,16.760000000000002
45,446.688061654000023,25.809999999999999,22.902999999999999,0.887369236730000,59.451435914100003,81.881770320499996,24.356500000000000
46,72.904999435999997,10.015000000000001,9.527500000000000,0.951323015477000,56.626008707600000,99.638004188099998,9.771250000000000
47,77.346918539900003,10.641000000000000,9.705700000000000,0.912104125552000,42.165534374800004,44.854766301600002,10.173349999999999
48,60.770438022299999,9.848900000000000,8.195300000000000,0.832103077501000,53.171846461299999,110.364789598000002,9.022100000000000
49,45.781945129500002,7.903800000000000,7.861000000000000,0.994584883221000,46.124212243000002,56.091791530000002,7.882400000000000
50,64.451169093199994,9.815200000000001,8.466400000000000,0.862580487407000,51.334497283200001,97.119424246500003,9.140800000000000
51,171.716851187999993,15.776000000000000,13.917999999999999,0.882226166329000,51.479030714399997,96.870927981999998,14.847000000000000
52,64.407662856200005,9.240000000000000,9.119999999999999,0.987012987013000,48.478335280200000,109.653405978999999,9.180000000000000
53,88.321724717999999,12.818000000000000,9.782900000000000,0.763215790295000,49.106077612500002,98.829559218800000,11.300450000000000
54,37.378325602099999,7.307800000000000,6.795100000000000,0.929842086538000,46.730749475700001,109.979981393000003,7.051450000000000
55,53.111058204899997,8.244000000000000,8.158300000000001,0.989604560893000,45.631116055600003,66.557449861300000,8.201150000000000
56,129.799268933999997,13.597000000000000,12.295999999999999,0.904317128778000,42.788290513100002,112.571947292000004,12.946500000000000
57,242.104238780000003,18.385999999999999,17.553999999999998,0.954748177961000,64.464848032000006,-53.097581018200003,17.969999999999999
58,111.175462487999994,12.666000000000000,11.710000000000001,0.924522343281000,67.875930431399993,-64.472708369499998,12.188000000000001
59,83.169748555499993,10.914000000000000,9.310600000000001,0.853087777167000,69.048459025400007,-89.360398271799994,10.112299999999999
60,158.785083272000008,15.318000000000000,14.798000000000000,0.966053009531000,68.590919184100002,-88.231709923200000,15.058000000000000
61,144.239357054999999,14.952000000000000,13.701000000000001,0.916332263242000,63.535901306400000,-51.984194778400003,14.326499999999999
62,59.978274077800002,9.798200000000000,8.738799999999999,0.891878100059000,53.417515790099998,-141.835273215000001,9.268500000000000
63,49.259150973300002,9.112299999999999,7.915100000000000,0.868617143860000,52.511943154599997,-40.552950574999997,8.513700000000000
64,207.601703326000006,16.981000000000002,15.847000000000000,0.933219480596000,49.473261211800001,-40.129205739800000,16.414000000000001
65,56.332146105800000,8.544400000000000,8.349000000000000,0.977131220448000,40.896688815300003,-148.758677102999997,8.446700000000000
66,48.219542566999998,8.327999999999999,7.745600000000000,0.930067243036000,45.862724657800001,-143.158068259000004,8.036799999999999
67,729.523368807999987,31.931000000000001,29.117000000000001,0.911872475024000,47.021653715399999,-138.610808138000010,30.524000000000001
