OID_,Lat_Center,Lon_Center,Area_Geo,AR,Height_km,Diam_Geo,Length_km,Width_km
24,-13.655416547900000,-54.481934468299997,12091.682756300000619,0.967144413712000,0.504739130435000,117.349999999999994,119.310000000000002,115.390000000000001
25,2.793193356890000,-46.076118555999997,38958.621923400001833,0.902402127074000,1.618285714290000,207.495000000000005,218.139999999999986,196.849999999999994
26,1.987726519900000,-43.596204606299999,505272.176984000019729,0.829462532425000,1.929818181820000,754.634999999999991,824.980000000000018,684.289999999999964
27,-33.440984388899999,-42.640706741499997,58293.051998000002641,0.977483238383000,1.108450000000000,255.125000000000000,258.029999999999973,252.219999999999999
28,-43.542994361700003,-38.326230961000000,23489.147490499999549,0.984121212121000,1.578904761900000,163.689999999999998,165.000000000000000,162.379999999999995
29,-24.514760006200000,-36.478618185300000,170031.456657000002451,0.967375207892000,1.450647058820000,431.769999999999982,438.930000000000007,424.610000000000014
30,28.488605243999999,-33.653165735400002,12194.342942600000242,0.934568616097000,0.960066666667000,116.935000000000002,120.890000000000001,112.980000000000004
31,-34.430199161399997,-31.494986256200001,101956.966367000000901,0.992064189288000,2.222523809520000,340.134999999999991,341.490000000000009,338.779999999999973
32,19.308285389000002,-16.123966189600001,10596.178675400000429,0.948770491803000,0.557400000000000,109.364999999999995,112.239999999999995,106.489999999999995
33,22.035153885000000,-15.410540115200000,10410.012163100000180,0.992601388381000,0.909571428571000,109.075000000000003,109.480000000000004,108.670000000000002
34,37.613306202899999,-17.905466815000000,14564.528789899999538,0.881124439948000,0.766772727273000,130.155000000000001,138.379999999999995,121.930000000000007
35,9.392181297590000,-11.332333908000001,69702.670542699997895,0.991828396323000,1.170187500000000,282.750000000000000,283.910000000000025,281.589999999999975
36,-10.883603161000000,-4.489610825460000,43445.367760300003283,0.906774094671000,0.199117647059000,217.724999999999994,228.370000000000005,207.080000000000013
37,10.824087390400001,14.420375115600001,339350.759269999980461,0.972037347379000,2.213619047620000,617.789999999999964,626.549999999999955,609.029999999999973
38,14.546075466700000,15.691199791100001,216785.185725999996066,0.841067413660000,1.600869565220000,499.500000000000000,542.620000000000005,456.379999999999995
39,-37.842237544800000,23.613551120299999,68378.484402200003387,0.960585857888000,0.745388888889000,283.785000000000025,289.490000000000009,278.079999999999984
40,9.271816412410001,29.111244311899998,121421.551810999997542,0.952580050380000,2.803315789470000,375.939999999999998,385.069999999999993,366.810000000000002
41,0.756458109311000,34.422626402799999,74452.555720000003930,0.918986331438000,2.853722222220000,288.509999999999991,300.689999999999998,276.329999999999984
42,29.740188116500001,44.853476280999999,42499.560160599998198,0.729199372057000,5.166533333330000,220.300000000000011,254.800000000000011,185.800000000000011
43,2.672368003750000,45.567078412400001,60718.876034900000377,0.959504256762000,2.033375000000000,260.084999999999980,265.459999999999980,254.710000000000008
44,38.640705475600001,54.538969573700001,110158.336970000003930,0.931027073485000,1.395793103450000,359.480000000000018,372.319999999999993,346.639999999999986
45,15.885664963100000,69.928327763100000,165800.564260000013746,0.845063059531000,1.465560000000000,423.524999999999977,459.089999999999975,387.959999999999980
46,62.998105916900002,119.677914987999998,78867.602561699997750,0.795499021526000,1.181714285710000,284.425000000000011,316.819999999999993,252.030000000000001
47,17.912987392200002,163.291661723000004,26656.034056600001350,0.917846559104000,0.766052631579000,174.735000000000014,182.219999999999999,167.250000000000000
48,-15.297519543300000,-144.583410006000008,140820.227792999998201,0.896032962821000,1.166888888890000,395.740000000000009,417.439999999999998,374.040000000000020
49,-25.673938601300001,-112.441285097000005,66775.005547199994908,0.975213794062000,0.886833333333000,284.095000000000027,287.660000000000025,280.529999999999973
50,9.499621264620000,-150.542469740000001,72175.997628700002679,0.888244023083000,3.513411764710000,286.305000000000007,303.250000000000000,269.360000000000014
51,13.296512773800000,-149.063628305000009,11581.045780700000250,0.848258106042000,1.596000000000000,114.859999999999999,124.290000000000006,105.430000000000007
52,-34.651666575199997,-133.707617365999994,16297.343300799999270,0.801240208877000,0.823900000000000,137.974999999999994,153.199999999999989,122.750000000000000
53,14.365049724800000,-118.839488810999995,284079.378183000022545,0.989804933211000,3.315933333330000,563.075000000000045,565.960000000000036,560.190000000000055
54,14.096311379499999,-113.012439377999996,29636.515799900000275,0.698169509642000,0.906000000000000,190.645000000000010,224.530000000000001,156.759999999999991
55,-31.954569095800000,99.709832131200002,62182.449586800001271,0.883612258205000,2.263736842110000,259.995000000000005,276.060000000000002,243.930000000000007
56,40.710122661400000,-114.835255853999996,220628.268095000006724,0.911682146154000,0.451200000000000,507.370000000000005,530.809999999999945,483.930000000000007
57,35.309231266099999,-140.548467748999997,211480.914164999994682,0.895538420225000,2.301176470590000,494.110000000000014,521.340000000000032,466.879999999999995
58,14.468140547300001,-155.118351319999988,213398.872516000003088,0.991978719051000,2.591500000000000,486.740000000000009,488.699999999999989,484.779999999999973
59,9.929230489989999,-159.312939301999990,24132.259132300001511,0.969029717150000,1.108000000000000,164.985000000000014,167.580000000000013,162.389999999999986
60,26.018762692199999,-162.586078793000013,40095.905855600001814,0.885140240921000,1.125785714290000,212.050000000000011,224.969999999999999,199.129999999999995
61,39.278031190999997,-151.878736726000000,19429.639982699998654,0.952093023256000,0.845863636364000,146.895000000000010,150.500000000000000,143.289999999999992
62,39.894161027199999,-156.801457191999987,9699.305480540000644,0.942415730337000,1.309352941180000,103.724999999999994,106.799999999999997,100.650000000000006
63,71.902748753300003,-104.823367351000002,367281.478977999999188,0.943468970643000,2.071291666670000,627.585000000000036,645.840000000000032,609.330000000000041
64,79.704083552599997,-96.209483349999999,53588.417199600000458,0.490750164641000,0.383500000000000,249.000000000000000,334.060000000000002,163.939999999999998
65,9.032657984540000,-140.790550784000004,33162.394195100001525,0.844801512287000,1.811562500000000,195.180000000000007,211.599999999999994,178.759999999999991
66,12.303312091800001,-133.444430398999998,198859.468334000004688,0.993828595583000,2.863105263160000,471.689999999999998,473.149999999999977,470.230000000000018
67,44.749515830299998,-175.168354313000009,22590.916348499999003,0.970113531758000,1.527812500000000,160.514999999999986,162.949999999999989,158.080000000000013
68,10.809504774600001,174.237511533999992,17451.716465800000151,0.836415646621000,1.368866666670000,138.025000000000006,150.319999999999993,125.730000000000004
69,39.658092544399999,-165.935620585000009,45914.201313700003084,0.966168437990000,1.329058823530000,232.175000000000011,236.169999999999987,228.180000000000007
70,32.842044779399998,-121.256301639000000,86836.094876400005887,0.984084542908000,1.343769230770000,311.660000000000025,314.160000000000025,309.160000000000025
71,22.192839453800001,-120.365869817000004,65245.831405500000983,0.858706293706000,2.051200000000000,265.795000000000016,286.000000000000000,245.590000000000003
72,23.906978216599999,-79.819448157200000,139213.054288999992423,0.957780577583000,2.558066666670000,396.245000000000005,404.790000000000020,387.699999999999989
73,32.394708987599998,-77.094754328500002,461906.014856999972835,0.963108243002000,3.906866666670000,698.149999999999977,711.269999999999982,685.029999999999973
74,20.368853255299999,-171.412127491000007,114006.573065999997198,0.881953335249000,2.721846153850000,360.139999999999986,382.730000000000018,337.550000000000011
75,8.820842109319999,-171.991385199999996,44687.486249900000985,0.705615639053000,1.914894736840000,229.465000000000003,269.069999999999993,189.860000000000014
76,3.645196984390000,-159.783412168000012,263238.330016999971122,0.831661505318000,3.089058823530000,544.149999999999977,594.159999999999968,494.139999999999986
77,0.852580911176000,-165.326403176000014,62905.395274800001062,0.915425531915000,4.975588235290000,270.074999999999989,282.000000000000000,258.149999999999977
78,-2.152862136500000,-165.265397006999990,115246.961469000001671,0.957876467023000,5.956692307690000,355.334999999999980,362.980000000000018,347.689999999999998
79,-46.607484461699997,-145.356900719999999,36217.483128499996383,0.950959902795000,2.405722222220000,200.705000000000013,205.750000000000000,195.659999999999997
