OID_,Lat_Center,Lon_Center,Area_Geo,AR,Height_km,Diam_Geo,Length_km,Width_km,Center_DEM_Altitude_m,Ellipse_Min_Altitude_m,Ellipse_Mean_Altitude_m,Ellipse_Max_Altitude_m,Estimated_Local_Base_m,Center_DEM_Altitude_km,Ellipse_Min_Altitude_km,Ellipse_Mean_Altitude_km,Ellipse_Max_Altitude_km,Estimated_Local_Base_km
34,37.6133062029,-17.905466815,14564.5287899,0.881124439948,0.766772727273,130.155,138.38,121.93,390.0,-462.0,-174.78501628664495,414.0,-352.7727272730001,0.39,-0.462,-0.17478501628664495,0.414,-0.3527727272730001
35,9.39218129759,-11.332333908,69702.6705427,0.991828396323,1.1701875,282.75,283.91,281.59,442.0,-435.0,179.62255742200892,1111.0,-59.1875,0.442,-0.435,0.17962255742200892,1.111,-0.0591875
36,-10.883603161,-4.48961082546,43445.3677603,0.906774094671,0.199117647059,217.725,228.37,207.08,375.0,97.0,219.22969837587007,411.0,211.882352941,0.375,0.097,0.21922969837587009,0.411,0.211882352941
37,10.8240873904,14.4203751156,339350.75927,0.972037347379,2.21361904762,617.79,626.55,609.03,2787.0,245.0,1585.0183281822756,3375.0,1161.38095238,2.787,0.245,1.5850183281822756,3.375,1.16138095238
38,14.5460754667,15.6911997911,216785.185726,0.84106741366,1.60086956522,499.5,542.62,456.38,2339.0,721.0,1822.3859357696567,3007.0,1406.13043478,2.339,0.721,1.8223859357696568,3.007,1.40613043478
39,-37.8422375448,23.6135511203,68378.4844022,0.960585857888,0.745388888889,283.785,289.49,278.08,1556.0,879.0,1219.201769309289,1658.0,912.611111111,1.556,0.879,1.219201769309289,1.658,0.912611111111
40,9.27181641241,29.1112443119,121421.551811,0.95258005038,2.80331578947,375.94,385.07,366.81,2635.0,-341.0,1177.8025242718447,3266.0,462.68421052999975,2.635,-0.341,1.1778025242718448,3.266,0.46268421052999975
41,0.756458109311,34.4226264028,74452.55572,0.918986331438,2.85372222222,288.51,300.69,276.33,3795.0,920.0,1846.9980211081795,4203.0,1349.2777777800002,3.795,0.92,1.8469980211081796,4.203,1.3492777777800002
42,29.7401881165,44.853476281,42499.5601606,0.729199372057,5.16653333333,220.3,254.8,185.8,5364.0,174.0,2742.285300925926,6004.0,837.4666666699995,5.364,0.174,2.7422853009259263,6.004,0.8374666666699996
43,2.67236800375,45.5670784124,60718.8760349,0.959504256762,2.033375,260.085,265.46,254.71,2723.0,639.0,1370.092976045473,2933.0,899.625,2.723,0.639,1.370092976045473,2.933,0.899625
44,38.6407054756,54.5389695737,110158.33697,0.931027073485,1.39579310345,359.48,372.32,346.64,1523.0,116.0,809.6094712253132,1719.0,323.20689655,1.523,0.116,0.8096094712253132,1.719,0.32320689655
45,15.8856649631,69.9283277631,165800.56426,0.845063059531,1.46556,423.525,459.09,387.96,1930.0,533.0,1393.7915831663327,2363.0,897.44,1.93,0.533,1.3937915831663326,2.363,0.89744
46,62.9981059169,119.677914988,78867.60256169998,0.795499021526,1.18171428571,284.425,316.82,252.03,2060.0,849.0,1759.0480439258752,2263.0,1081.28571429,2.06,0.849,1.759048043925875,2.263,1.08128571429
47,17.9129873922,163.291661723,26656.0340566,0.917846559104,0.766052631579,174.735,182.22,167.25,1096.0,67.0,469.3047790802525,1186.0,419.94736842099996,1.096,0.067,0.4693047790802525,1.186,0.41994736842099994
48,-15.2975195433,-144.583410006,140820.227793,0.896032962821,1.16688888889,395.74,417.44,374.04,1956.0,69.0,1399.9329118370215,2249.0,1082.11111111,1.956,0.069,1.3999329118370214,2.249,1.08211111111
49,-25.6739386013,-112.441285097,66775.0055472,0.975213794062,0.886833333333,284.095,287.66,280.53,1369.0,379.0,971.258931609391,1856.0,969.1666666670001,1.369,0.379,0.9712589316093909,1.856,0.969166666667
50,9.49962126462,-150.54246974,72175.9976287,0.888244023083,3.51341176471,286.305,303.25,269.36,2777.0,-233.0,1334.431063401543,4396.0,882.5882352900003,2.777,-0.233,1.334431063401543,4.396,0.8825882352900003
51,13.2965127738,-149.063628305,11581.0457807,0.848258106042,1.596,114.86,124.29,105.43,1902.0,448.0,965.1928721174004,2190.0,594.0,1.902,0.448,0.9651928721174003,2.19,0.594
52,-34.6516665752,-133.707617366,16297.3433008,0.801240208877,0.8239,137.975,153.2,122.75,1246.0,493.0,852.634252539913,1427.0,603.1,1.246,0.493,0.852634252539913,1.427,0.6031
53,14.3650497248,-118.839488811,284079.378183,0.989804933211,3.31593333333,563.075,565.96,560.19,396.0,-1755.0,1087.977752770083,4424.0,1108.0666666700004,0.396,-1.755,1.0879777527700831,4.424,1.1080666666700003
54,14.0963113795,-113.012439378,29636.5157999,0.698169509642,0.906,190.645,224.53,156.76,1114.0,-532.0,907.2389105058365,1723.0,817.0,1.114,-0.532,0.9072389105058365,1.723,0.817
55,-31.9545690958,99.7098321312,62182.4495868,0.883612258205,2.26373684211,259.995,276.06,243.93,2714.0,-1575.0,1448.3623778501628,3429.0,1165.26315789,2.714,-1.575,1.4483623778501629,3.429,1.16526315789
56,40.7101226614,-114.835255854,220628.268095,0.911682146154,0.4512,507.37,530.81,483.93,734.0,522.0,805.7236814008114,1197.0,745.8,0.734,0.522,0.8057236814008114,1.197,0.7457999999999999
57,35.3092312661,-140.548467749,211480.914165,0.895538420225,2.30117647059,494.11,521.34,466.88,2960.0,816.0,1912.7396736072033,3623.0,1321.82352941,2.96,0.816,1.9127396736072033,3.623,1.32182352941
58,14.4681405473,-155.11835132,213398.872516,0.991978719051,2.5915,486.74,488.7,484.78,2865.0,-847.0,1741.7077012159814,3951.0,1359.5,2.865,-0.847,1.7417077012159814,3.951,1.3595
59,9.92923048999,-159.312939302,24132.2591323,0.96902971715,1.108,164.985,167.58,162.39,2727.0,882.0,1942.4459049544994,2972.0,1864.0,2.727,0.882,1.9424459049544993,2.972,1.864
60,26.0187626922,-162.586078793,40095.9058556,0.885140240921,1.12578571429,212.05,224.97,199.13,1747.0,249.0,1085.5405405405406,2012.0,886.21428571,1.747,0.249,1.0855405405405407,2.012,0.88621428571
61,39.278031191,-151.878736726,19429.6399827,0.952093023256,0.845863636364,146.895,150.5,143.29,549.0,-83.0,237.38422391857506,961.0,115.13636363600006,0.549,-0.083,0.23738422391857505,0.961,0.11513636363600005
62,39.8941610272,-156.801457192,9699.30548054,0.942415730337,1.30935294118,103.725,106.8,100.65,768.0,-227.0,441.2923076923077,1365.0,55.647058819999984,0.768,-0.227,0.4412923076923077,1.365,0.055647058819999984
63,71.9027487533,-104.823367351,367281.478978,0.943468970643,2.07129166667,627.585,645.84,609.33,2493.0,649.0,1960.3399526198439,4351.0,2279.7083333299997,2.493,0.649,1.960339952619844,4.351,2.27970833333
64,79.70408355259998,-96.20948335000001,53588.4171996,0.490750164641,0.3835,249.0,334.06,163.94,541.0,276.0,424.7072072072072,651.0,267.5,0.541,0.276,0.4247072072072072,0.651,0.2675
65,9.03265798454,-140.790550784,33162.3941951,0.844801512287,1.8115625,195.18,211.6,178.76,3906.0,1473.0,3134.248914616498,4232.0,2420.4375,3.906,1.473,3.134248914616498,4.232,2.4204375
66,12.3033120918,-133.444430399,198859.468334,0.993828595583,2.86310526316,471.69,473.15,470.23,2115.0,-849.0,1534.837851158206,4190.0,1326.89473684,2.115,-0.849,1.534837851158206,4.19,1.32689473684
67,44.7495158303,-175.168354313,22590.9163485,0.970113531758,1.5278125,160.515,162.95,158.08,1579.0,-367.0,617.7571884984026,1800.0,272.1875,1.579,-0.367,0.6177571884984026,1.8,0.2721875
68,10.8095047746,174.237511534,17451.7164658,0.836415646621,1.36886666667,138.025,150.32,125.73,1722.0,55.0,551.8180494905386,1722.0,353.1333333299999,1.722,0.055,0.5518180494905386,1.722,0.3531333333299999
69,39.6580925444,-165.935620585,45914.2013137,0.96616843799,1.32905882353,232.175,236.17,228.18,818.0,-147.0,413.09044455799693,1571.0,241.94117646999985,0.818,-0.147,0.4130904445579969,1.571,0.24194117646999985
70,32.8420447794,-121.256301639,86836.0948764,0.984084542908,1.34376923077,311.66,314.16,309.16,2043.0,521.0,1432.519605077574,2159.0,815.2307692300001,2.043,0.521,1.432519605077574,2.159,0.81523076923
71,22.1928394538,-120.365869817,65245.8314055,0.858706293706,2.0512,265.795,286.0,245.59,2228.0,217.0,1297.0711493354183,2942.0,890.7999999999997,2.228,0.217,1.2970711493354183,2.942,0.8907999999999997
72,23.9069782166,-79.8194481572,139213.054289,0.957780577583,2.55806666667,396.245,404.79,387.7,5900.0,96.0,4616.191548803911,6523.0,3964.93333333,5.9,0.096,4.616191548803911,6.523,3.9649333333300003
73,32.3947089876,-77.0947543285,461906.014857,0.963108243002,3.90686666667,698.15,711.27,685.03,1855.0,-488.0,3927.971864273254,7379.0,3472.13333333,1.855,-0.488,3.927971864273254,7.379,3.47213333333
74,20.3688532553,-171.412127491,114006.573066,0.881953335249,2.72184615385,360.14,382.73,337.55,3378.0,1898.0,3420.661221892236,5462.0,2740.15384615,3.378,1.898,3.420661221892236,5.462,2.74015384615
75,8.82084210932,-171.9913852,44687.4862499,0.705615639053,1.91489473684,229.465,269.07,189.86,4711.0,1543.0,3273.065485775631,4711.0,2796.10526316,4.711,1.543,3.2730654857756307,4.711,2.79610526316
76,3.64519698439,-159.783412168,263238.330017,0.831661505318,3.08905882353,544.15,594.16,494.14,5417.0,3030.0,5071.175289503175,7519.0,4429.94117647,5.417,3.03,5.071175289503175,7.519,4.42994117647
77,0.852580911176,-165.326403176,62905.3952748,0.915425531915,4.97558823529,270.075,282.0,258.15,9575.0,3120.0,6388.406497922176,9661.0,4685.41176471,9.575,3.12,6.388406497922175,9.661,4.68541176471
78,-2.1528621365,-165.265397007,115246.961469,0.957876467023,5.95669230769,355.335,362.98,347.69,6340.0,-666.0,3961.047017849369,9475.0,3518.3076923099998,6.34,-0.666,3.961047017849369,9.475,3.5183076923099996
79,-46.6074844617,-145.35690072,36217.4831285,0.950959902795,2.40572222222,200.705,205.75,195.66,4069.0,1923.0,3038.324914675768,4351.0,1945.2777777799997,4.069,1.923,3.038324914675768,4.351,1.9452777777799997
80,-21.3432159383,-121.206557594,19999.9534036,0.891156036803,0.7197,151.075,159.77,142.38,1308.0,435.0,779.2093862815884,1476.0,756.3,1.308,0.435,0.7792093862815884,1.476,0.7563
81,-37.7811118465,-113.485494955,158087.305107,0.915033405101,0.890043478261,431.39,450.53,412.25,1490.0,731.0,1161.8961192267966,1878.0,987.956521739,1.49,0.731,1.1618961192267967,1.878,0.987956521739
82,-44.5509154966,-86.6887389603,54373.2234269,0.709982997328,1.71015,246.4,288.19,204.61,1717.0,882.0,1566.4583914458392,2726.0,1015.8499999999999,1.717,0.882,1.5664583914458392,2.726,1.01585
83,-27.0969529436,-87.07214997379998,45912.4533338,0.803934763677,1.66714285714,227.855,252.62,203.09,2668.0,285.0,1550.4426580921759,2800.0,1132.85714286,2.668,0.285,1.550442658092176,2.8,1.13285714286
84,19.0929253319,-91.6846375528,86181.3132852,0.905954454953,0.820411764706,306.325,321.44,291.21,1062.0,-118.0,1856.8121886903018,2773.0,1952.588235294,1.062,-0.118,1.8568121886903017,2.773,1.952588235294
85,57.519898389,-105.10886167,100471.320825,0.925179499876,1.65905,388.79,403.9,373.68,1815.0,1143.0,1776.8725686238865,2801.0,1141.95,1.815,1.143,1.7768725686238864,2.801,1.14195
86,76.0467537089,-124.288980115,34998.1601805,0.986192143135,1.40323076923,204.26,205.68,202.84,2597.0,1339.0,2300.3627968337732,2806.0,1402.7692307700001,2.597,1.339,2.3003627968337734,2.806,1.4027692307700002
87,-41.9029115358,41.5656849726,43912.4881708,0.869181612039,0.631782608696,226.685,242.55,210.82,918.0,-68.0,670.6484165324745,1210.0,578.217391304,0.918,-0.068,0.6706484165324744,1.21,0.578217391304
88,-34.1772405287,86.3812694785,89804.9742404,0.999188108918,1.974,320.11,320.24,319.98,2260.0,918.0,1631.5101549973276,3132.0,1158.0,2.26,0.918,1.6315101549973277,3.132,1.158
