,OID_,Lat_Center,Lon_Center,Area_Geo,AR,Height_km,Diam_Geo,Length_km,Width_km,Topo
0,0,35.7153414022,-148.642639981,78780.5163673,0.935013784955,2.0702,294.78,304.68,284.88,917.7253545771299
1,1,-31.5450637203,-131.788743168,12848.3646613,0.966341463415,1.566375,120.93,123.0,118.86,1203.5200953515496
2,2,35.9254843152,-122.685856786,72258.2319126,0.940018966335,3.00669230769,286.405,295.26,277.55,-37.711677324726374
3,3,8.59374998006,-104.404575371,33485.4595926,0.969407170038,1.35075,196.665,199.72,193.61,-515.8361598357543
4,4,-1.99927506127,-103.130734387,79362.7931757,0.700193103448,0.62575,308.16,362.5,253.82,-825.5384516110081
5,5,-16.5149020796,-105.016749611,152376.818055,0.896161394861,1.88033333333,415.43,438.18,392.68,1523.6335415930018
6,6,-42.969244713,-102.617824946,38142.1322739,0.99364931123,0.3992,213.47,214.15,212.79,-70.43340149121721
7,7,-12.2911812229,-98.4217959216,170820.682731,0.84211535144,2.1553,480.525,521.71,439.34,955.3226356288642
8,8,25.0389074975,-96.3826515721,293799.664295,0.964066518087,4.3491,572.82,583.3,562.34,1694.830714934235
9,9,52.5233022993,-92.2778103766,115545.118337,0.789536568625,1.1197,351.975,393.37,310.58,-97.18316234240461
10,10,-37.898326749,-90.0286334603,165531.741364,0.986525789593,1.8775,437.135,440.1,434.17,1450.91103117232
11,11,-20.3553423817,-86.9473679591,46535.5853644,0.803566464117,1.241,227.06,251.79,202.33,873.675484822788
12,12,10.1074519626,-85.3685736179,206491.342966,0.886815265508,2.21061538462,483.77,512.79,454.75,1199.1077338143668
13,13,-27.6575551931,-79.3178552928,163056.252786,0.835198393608,1.42226666667,438.695,478.09,399.3,1470.6614550741303
14,14,-17.6946288126,-75.109783768,239680.611581,0.827899565766,3.43452380952,521.975,571.12,472.83,4077.2934608306196
15,15,-45.2799796305,-65.3485600606,40536.393065,0.864535703602,0.644166666667,218.16,234.01,202.31,890.5219928788255
16,16,-21.9604283741,-68.8404544941,57973.9794805,0.917320503331,1.79048275862,259.03,270.2,247.86,1029.8348482573326
17,17,-18.558459168,-67.2412288415,20497.7735571,0.829366268961,0.884409090909,152.56,166.79,138.33,461.8507587555045
18,18,13.6574011419,-68.5016955144,73703.7338169,0.970067132674,1.46722727273,284.655,288.98,280.33,1152.3804245574931
19,19,2.83015808329,-58.5801133436,116413.928063,0.813883946224,1.55427777778,366.985,404.64,329.33,995.0021591826592
20,20,17.7812804896,-56.3726223651,13828.7134226,0.808206514009,1.03171428571,127.135,140.62,113.65,269.48480285642535
21,21,18.5758505849,-57.0603693064,8179.82535767,0.911887279222,1.20426666667,96.34,100.78,91.9,451.621223211044
22,22,36.2235510812,-51.7089603628,19766.4395015,0.87546080118,0.947714285714,152.625,162.76,142.49,-486.72760283469336
23,23,-8.80806524751,-54.7838403759,23694.7149891,0.85695515567,1.6157826087,162.53,175.05,150.01,1696.9405245263433
24,24,-13.6554165479,-54.4819344683,12091.6827563,0.967144413712,0.504739130435,117.35,119.31,115.39,867.873502834314
25,25,2.79319335689,-46.076118556,38958.6219234,0.902402127074,1.61828571429,207.495,218.14,196.85,795.1079783105702
